target,bert_depth,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95
gap,2,350,10,0.8308471131564644,0.04701677859503781,0.029141301286417495,0.6410303828068132,0.03949890857775207,0.024481677174505872,0.7585298836231231,0.026359404673754524,0.016337728280889773,0.5581138253211975,0.05166380446408367,0.032021557760431515
gap,2,375,10,0.8100054565998167,0.03663138548299252,0.022704367946881174,0.6303859974622238,0.03714480452971926,0.023022588368907877,0.7809448003768921,0.010636445363540196,0.006592537137118041,0.5804411828517914,0.039001040278671795,0.02417309520572791
gap,2,400,10,0.8037772679132312,0.016352589409429154,0.010135439922367396,0.6153888043232281,0.015921048036043817,0.009867967808046408,0.772025054693222,0.010458575629540733,0.006482292333813708,0.5874738574028016,0.016810475903309526,0.010419240911543576
gap,2,425,10,0.8004811442533105,0.021892256735758,0.013568961303607014,0.6185137405299677,0.017507098583919512,0.010851012122273653,0.7849893748760224,0.016772918812978866,0.010395962785787796,0.590727299451828,0.022326250950015933,0.013837953704451494
gap,2,450,10,0.796489348388765,0.015428366007855807,0.00956260032327055,0.6147472224879389,0.009776320767017599,0.006059426388995271,0.7855775117874145,0.015335170747780444,0.009504837302632449,0.5949348390102387,0.015807831390821914,0.009797795404329297
gap,2,475,10,0.8031178557785577,0.02160096131649491,0.013388414532225387,0.6249173289719542,0.022643458536232276,0.01403456100330296,0.793114960193634,0.011612171848744452,0.007197298678170864,0.588035774230957,0.0220150812594005,0.013645088732065176
gap,2,500,10,0.8045645823969635,0.028807236041345427,0.017854909881009826,0.6283382255140412,0.032114258793832486,0.01990462381869407,0.7948140144348145,0.008714761814372876,0.005401465333458841,0.5863424837589264,0.030398673312191676,0.01884129292072449
gap,2,600,3,0.7769186960615059,0.021450468919332957,0.02427349064944834,0.600161831798027,0.02057935498052571,0.02328773243000055,0.809685746828715,0.004127639952221956,0.004670864313565072,0.6145304044087728,0.02119499939947357,0.023984399673169645
gap,2,700,3,0.7588692592032877,0.009218160205856835,0.010431330261517697,0.5833191262403793,0.00796452808165668,0.009012711966549123,0.823081374168396,0.006574523370092448,0.007439773561532066,0.6323835452397665,0.008951640108327316,0.010129734379413596
gap,2,800,3,0.7351539751970539,0.011607839523227147,0.013135506975952536,0.5700161402772949,0.00786165519980882,0.008896300341935861,0.8340889811515808,0.007883031580231759,0.00892048999355917,0.6549777587254842,0.010862029351743692,0.01229154331754268
gap,2,900,3,0.6784805393414228,0.015494610786072555,0.017533802708321836,0.5157199506611647,0.011211567369739424,0.012687082820355093,0.8508289655049642,0.008393483440145115,0.009498120650268638,0.7060698469479879,0.013498477748054842,0.015274965532519688
gap,2,1000,3,0.6798165047341939,0.02910098964156402,0.03293086983835334,0.5215973081215342,0.02596295701962854,0.02937985163951279,0.8597471117973328,0.0042255908463847145,0.004781706184785049,0.7046534021695455,0.025386011890800007,0.02872697676565667
gap,2,1500,3,0.6191916607684624,0.010283273201762996,0.011636619080329128,0.46728375922589765,0.004371321302459701,0.004946615720151329,0.8796822627385458,0.010083950599923439,0.011411064322986943,0.7552355329195658,0.008090248053577642,0.009154977507426039
gap,2,2000,3,0.6302253998624666,0.024460117769396383,0.027679228933999062,0.47649033614146086,0.02463877980900603,0.02788140406425775,0.8792478243509928,0.012786675578285668,0.014469485550840742,0.7462266484896342,0.019467909489961823,0.022030013457793908
gap,2,2500,3,0.566101473391443,0.005902424358515345,0.006679221932830067,0.4265844575382622,0.004296777976733199,0.004862262006169338,0.8984583218892416,0.00177858189548615,0.0020126548828240582,0.7954316735267639,0.0042596751910460775,0.004820276251693214
gap,2,3000,3,0.5710684676275172,0.020331200285182698,0.023006918956892913,0.4298857799951454,0.013933294158465956,0.015767006620853577,0.903780976931254,0.0125550422158892,0.01420736772594026,0.7916653553644816,0.014968708700433599,0.016938688475328204
