train_size,model_a,model_b,metric,t_stat,p_value,significant_005,target
900,gtca_cat,gtca_ca,MAE,-1.9417396686837258,0.1823770903928264,False,lumo
1000,gtca_cat,gtca_ca,MAE,-0.662263896461506,0.5586211392474434,False,lumo
1500,gtca_cat,gtca_ca,MAE,0.055707910377746896,0.9582649822187038,False,lumo
2000,gtca_cat,gtca_ca,MAE,-2.5840655363307223,0.0617102925968124,False,lumo
2500,gtca_cat,gtca_ca,MAE,1.3025495545090726,0.26904690680948373,False,lumo
3000,gtca_cat,gtca_ca,MAE,-0.4645751216376895,0.677103718937655,False,lumo
50,gtca_cat,gtca_ca,RMSE,1.3076835589322653,0.2097422864516707,False,gap
75,gtca_cat,gtca_ca,RMSE,3.2406301962356596,0.005464607481361091,True,gap
100,gtca_cat,gtca_ca,RMSE,3.170827839854983,0.005984049694716042,True,gap
125,gtca_cat,gtca_ca,RMSE,3.534861963700718,0.0039489239379572605,True,gap
150,gtca_cat,gtca_ca,RMSE,0.15926223893678054,0.875623889731088,False,gap
175,gtca_cat,gtca_ca,RMSE,-0.813890792226662,0.42778873878096846,False,gap
200,gtca_cat,gtca_ca,RMSE,0.28262379708621993,0.7808189201101801,False,gap
225,gtca_cat,gtca_ca,RMSE,0.1082771740938142,0.9149893665139359,False,gap
250,gtca_cat,gtca_ca,RMSE,0.2830358946221738,0.7803790302606055,False,gap
275,gtca_cat,gtca_ca,RMSE,-0.35394969076540295,0.7281888885718469,False,gap
300,gtca_cat,gtca_ca,RMSE,0.8324781261045714,0.4160530899767202,False,gap
325,gtca_cat,gtca_ca,RMSE,-0.8107429655244804,0.42971002429651145,False,gap
350,gtca_cat,gtca_ca,RMSE,0.4326196361654413,0.6704379972102675,False,gap
375,gtca_cat,gtca_ca,RMSE,1.076703918566122,0.29583256751275505,False,gap
400,gtca_cat,gtca_ca,RMSE,-1.5198731111173167,0.1518558260590266,False,gap
425,gtca_cat,gtca_ca,RMSE,-0.9146181131599834,0.3741399940951247,False,gap
450,gtca_cat,gtca_ca,RMSE,-1.6118631480889631,0.12565447977203528,False,gap
475,gtca_cat,gtca_ca,RMSE,0.338428157794194,0.7400095499446149,False,gap
500,gtca_cat,gtca_ca,RMSE,-1.9545522986205832,0.06774947988105928,False,gap
600,gtca_cat,gtca_ca,RMSE,-2.2644813527721888,0.14426472900480306,False,gap
700,gtca_cat,gtca_ca,RMSE,-0.3273901181321684,0.7638573315746111,False,gap
800,gtca_cat,gtca_ca,RMSE,-2.325453405895262,0.10679232899040017,False,gap
900,gtca_cat,gtca_ca,RMSE,-0.39028020481164377,0.7300181839849139,False,gap
1000,gtca_cat,gtca_ca,RMSE,-0.6898179685649213,0.5302578675848838,False,gap
1500,gtca_cat,gtca_ca,RMSE,-1.1398257210717069,0.3659876927548069,False,gap
2000,gtca_cat,gtca_ca,RMSE,-0.8437598701863918,0.44933099903257917,False,gap
2500,gtca_cat,gtca_ca,RMSE,-1.8208762855240186,0.18475223217373649,False,gap
3000,gtca_cat,gtca_ca,RMSE,-0.3725889847575461,0.7407827795856928,False,gap
50,gtca_cat,gtca_ca,MAE,1.004185407040989,0.3317250558087231,False,gap
75,gtca_cat,gtca_ca,MAE,2.4585420466713255,0.025930685052999797,True,gap
100,gtca_cat,gtca_ca,MAE,2.952772119231201,0.009646090172625216,True,gap
125,gtca_cat,gtca_ca,MAE,3.0804553809798625,0.008637299588711343,True,gap
150,gtca_cat,gtca_ca,MAE,-0.25983472280650577,0.799116807655064,False,gap
175,gtca_cat,gtca_ca,MAE,-0.9181917939754227,0.37171160387476326,False,gap
200,gtca_cat,gtca_ca,MAE,0.10643640858655981,0.916413510964684,False,gap
225,gtca_cat,gtca_ca,MAE,-0.06521547150098304,0.9487214059211516,False,gap
250,gtca_cat,gtca_ca,MAE,0.08790078051224277,0.9309535633093988,False,gap
275,gtca_cat,gtca_ca,MAE,-0.6747467408282092,0.5093833959021669,False,gap
300,gtca_cat,gtca_ca,MAE,0.6089078446046403,0.5502242775673872,False,gap
325,gtca_cat,gtca_ca,MAE,-0.8633223748726974,0.4007152623672472,False,gap
350,gtca_cat,gtca_ca,MAE,0.17434292478520363,0.8635501884190613,False,gap
375,gtca_cat,gtca_ca,MAE,1.5194430654581377,0.14612665083720008,False,gap
400,gtca_cat,gtca_ca,MAE,-1.5266299995787198,0.15163060725534072,False,gap
425,gtca_cat,gtca_ca,MAE,-0.9712474378721213,0.3456145640160889,False,gap
450,gtca_cat,gtca_ca,MAE,-1.198894947780585,0.2470067735245218,False,gap
475,gtca_cat,gtca_ca,MAE,-0.026926447034631058,0.978863104199033,False,gap
500,gtca_cat,gtca_ca,MAE,-1.803441200163402,0.08863492331429759,False,gap
600,gtca_cat,gtca_ca,MAE,-2.1412387872578584,0.1473782293023224,False,gap
700,gtca_cat,gtca_ca,MAE,-0.15021280119409694,0.889347291283223,False,gap
800,gtca_cat,gtca_ca,MAE,-2.2879982532875562,0.11992587748831944,False,gap
900,gtca_cat,gtca_ca,MAE,-0.5131631261595948,0.6544914535056211,False,gap
1000,gtca_cat,gtca_ca,MAE,-0.8396769859812439,0.4512429779560659,False,gap
1500,gtca_cat,gtca_ca,MAE,-1.208002184828858,0.34327224946988943,False,gap
2000,gtca_cat,gtca_ca,MAE,-0.6902183429389664,0.5321911359245708,False,gap
2500,gtca_cat,gtca_ca,MAE,-1.8066207796581844,0.18761178969881454,False,gap
3000,gtca_cat,gtca_ca,MAE,-0.45922060878047877,0.6839285243167719,False,gap
