dataset,target,train_size,seed,n_models,best_single_rmse,best_single_model,all_ensemble_rmse,all_ens_improvement_pct,cross_fam_rmse,top3,top5,fam_GNN,fam_Transformer,fam_3D,fam_Tree,fam_Other
qm9,gap,50,5,15,0.7735556,krovex,0.97189766,-25.64031,0.8714940547943115,0.764560341835022,0.8038609027862549,0.8205667734146118,0.9717251,,1.119626760482788,1.198808193206787
qm9,lumo,475,2,3,0.4973058,selformer,0.4869056,2.0913074,,0.48690560460090637,,,0.4869056,,,
qm9,homo,100,4,15,0.43523368,gcn,0.5487305,-26.077206,0.49978330731391907,0.44223058223724365,0.4660269320011139,0.49695396423339844,0.6317335,,0.5042277574539185,0.5861529111862183
qm9,lumo,100,9,15,0.7738064,krovex,1.1223317,-45.04037,0.9956246018409729,0.8642395734786987,0.9288672804832458,1.018510341644287,1.180494,,1.1005796194076538,1.3111621141433716
qm9,homo,200,2,15,0.3719673,gcn,0.43006963,-15.620284,0.40744197368621826,0.37874647974967957,0.3854641020298004,0.3916360139846802,0.48411626,,0.45328202843666077,0.4825226664543152
qm9,homo,50,0,15,0.45611122,xgb,0.53409225,-17.096931,0.47242024540901184,0.4358503222465515,0.4466767907142639,0.5213423371315002,0.6067345,,0.4607844054698944,0.5636807680130005
qm9,homo,200,4,15,0.35300997,gcn,0.43403342,-22.952173,0.39186814427375793,0.37072309851646423,0.37853267788887024,0.3931675851345062,0.5116858,,0.4540427029132843,0.45995721220970154
qm9,gap,100,6,15,0.69306964,krovex,0.9113091,-31.488827,0.8326454758644104,0.7438745498657227,0.7790032029151917,0.7774175405502319,0.9579296,,0.9906885623931885,1.1250284910202026
qm9,lumo,225,5,3,0.59055966,molformer,0.59490573,-0.7359294,,0.5949057340621948,,,0.59490573,,,
qm9,homo,100,3,15,0.42876154,gcn,0.5278688,-23.114777,0.49306654930114746,0.42498403787612915,0.45637276768684387,0.46516016125679016,0.59259593,,0.5040943026542664,0.5829283595085144
qm9,lumo,200,7,15,0.43448767,attentivefp,0.543572,-25.10643,0.4235191345214844,0.37893760204315186,0.39057087898254395,0.47404804825782776,0.6379318,,0.8083829879760742,0.6454591155052185
qm9,homo,100,8,15,0.41657788,attentivefp,0.5547202,-33.16123,0.49249228835105896,0.4411390721797943,0.4653315842151642,0.5215160846710205,0.6178708,,0.5025494694709778,0.5950673818588257
qm9,lumo,50,3,15,0.81892395,krovex,1.1103971,-35.592216,0.9446684718132019,0.861741304397583,0.8761501312255859,0.8801499605178833,1.197877,,1.1614248752593994,1.3706964254379272
qm9,homo,500,4,15,0.3573028,gcn,0.43964225,-23.044716,0.3993479907512665,0.3635503649711609,0.3798622786998749,0.3946521580219269,0.454474,,0.48100924491882324,0.5239339470863342
qm9,homo,50,8,15,0.45611122,xgb,0.55744463,-22.216822,0.531396210193634,0.46146610379219055,0.4797171354293823,0.5641047954559326,0.641603,,0.46146610379219055,0.583672821521759
qm9,homo,200,7,15,0.3927849,gcn,0.44112206,-12.306262,0.4118175208568573,0.3909260928630829,0.39313986897468567,0.4162951409816742,0.47870612,,0.45457854866981506,0.4797990322113037
qm9,homo,500,9,15,0.3561348,gcn,0.44732904,-25.606665,0.4038480222225189,0.3626365661621094,0.3790447413921356,0.40142330527305603,0.47429383,,0.47904065251350403,0.5229582786560059
qm9,lumo,100,4,15,0.8685669,attentivefp,1.1265656,-29.703943,1.0188097953796387,0.9279491305351257,0.9499987959861755,1.0269476175308228,1.2068219,,1.1009531021118164,1.286684513092041
qm9,lumo,500,4,15,0.40047303,attentivefp,0.44660658,-11.519764,0.3749082088470459,0.33611002564430237,0.33407917618751526,0.3667530119419098,0.4890239,,0.761046290397644,0.5447874665260315
qm9,lumo,500,9,15,0.4157183,unimol_pt,0.44401637,-6.8070364,0.38723114132881165,0.3387722671031952,0.34718412160873413,0.37593668699264526,0.5263487,,0.7604460716247559,0.5641100406646729
qm9,gap,100,2,15,0.79822487,krovex,0.89204186,-11.753205,0.8335793614387512,0.7623166441917419,0.7820377945899963,0.7776504158973694,0.8931984,,0.9928755760192871,1.0992426872253418
qm9,gap,200,8,15,0.53145945,attentivefp,0.6515404,-22.594564,0.6050146222114563,0.523658275604248,0.5650966763496399,0.6726282835006714,0.75866604,,0.8085286021232605,0.7656369805335999
qm9,lumo,200,1,15,0.5129281,gps,0.5166421,-0.72406954,0.4405822455883026,0.3966797888278961,0.4103938043117523,0.4394204318523407,0.6369256,,0.8072144389152527,0.628855288028717
qm9,lumo,250,4,3,0.63727665,chemberta2,0.6265477,1.6835605,,0.626547634601593,,,0.62654763,,,
qm9,homo,500,2,15,0.3680445,gcn,0.43117842,-17.153889,0.39381861686706543,0.35568222403526306,0.370675265789032,0.41339606046676636,0.41690537,,0.4788440763950348,0.5153002738952637
qm9,gap,50,1,15,0.8450533,attentivefp,0.9764634,-15.550504,0.9123206734657288,0.7856053113937378,0.8104639053344727,0.8017596006393433,1.0430461,,1.1161401271820068,1.1611168384552002
qm9,homo,50,4,15,0.45611122,xgb,0.5610358,-23.004171,0.5202955603599548,0.4644607901573181,0.47815167903900146,0.5997529029846191,0.6414932,,0.46088090538978577,0.5537331700325012
qm9,lumo,100,6,15,0.9688029,attentivefp,1.1012635,-13.672601,1.0294142961502075,0.9393842220306396,0.9483570456504822,0.9740006923675537,1.1593062,,1.1011160612106323,1.3016024827957153
qm9,lumo,50,4,15,0.74692875,krovex,1.0898616,-45.912395,0.870613694190979,0.7056565284729004,0.7728567123413086,0.7516695857048035,1.2992966,,1.1693447828292847,1.3702436685562134
qm9,lumo,275,9,3,0.56711626,chemberta2,0.576122,-1.5879889,,0.576121985912323,,,0.576122,,,
qm9,gap,3000,2,14,0.43372738,unimol_pt,0.5101087,-17.61045,0.4834766983985901,0.41495177149772644,0.44384104013442993,0.46110260486602783,0.55809814,,0.6154881119728088,0.6918317079544067
qm9,gap,50,9,15,0.7185155,krovex,1.0174708,-41.60736,0.854915976524353,0.7827622294425964,0.8248633742332458,0.8240928649902344,1.1039928,,1.1182403564453125,1.1779602766036987
qm9,gap,100,9,15,0.72969115,krovex,0.9229925,-26.490856,0.8441329002380371,0.7430992126464844,0.7960618138313293,0.8276428580284119,0.9456956,,0.9927142858505249,1.1157803535461426
qm9,lumo,100,8,15,0.8616061,krovex,1.0790877,-25.241417,0.9923911094665527,0.8938389420509338,0.9233574867248535,0.9361814260482788,1.1250719,,1.0993362665176392,1.2847247123718262
qm9,homo,100,5,15,0.4570714,attentivefp,0.5395648,-18.048246,0.49039697647094727,0.4532039165496826,0.4681691825389862,0.54475998878479,0.5358499,,0.503631055355072,0.5881739258766174
qm9,gap,500,8,15,0.5588239,attentivefp,0.6102816,-9.208219,0.5971883535385132,0.5396331548690796,0.5562182664871216,0.5768046379089355,0.6897406,,0.7690908312797546,0.6862145662307739
qm9,lumo,500,1,15,0.38900617,attentivefp,0.42226318,-8.549223,0.43527400493621826,0.3399706780910492,0.3551569879055023,0.3772761821746826,0.47291124,,0.7608544230461121,0.5259811878204346
qm9,homo,1000,2,14,0.33936548,attentivefp,0.40280342,-18.6931,0.3654170632362366,0.3341292440891266,0.34727898240089417,0.38112226128578186,0.37535578,,0.4937156140804291,0.47512438893318176
qm9,gap,100,5,15,0.7336558,krovex,0.9124318,-24.367825,0.7973718047142029,0.6924211978912354,0.7397593259811401,0.8240490555763245,0.88571644,,0.9913662672042847,1.1871426105499268
qm9,lumo,325,8,3,0.55535686,selformer,0.50961506,8.23647,,0.5096150636672974,,,0.50961506,,,
qm9,lumo,3000,2,14,0.2361928,unimol_pt,0.28909105,-22.396217,0.24391287565231323,0.23276135325431824,0.244131937623024,0.26616063714027405,0.30857667,,0.5166535973548889,0.5250003337860107
qm9,lumo,50,8,15,0.8338406,krovex,1.1404153,-36.766586,0.9699060320854187,0.8611167073249817,0.9183750152587891,0.9710354208946228,1.1908531,,1.1636321544647217,1.3884198665618896
qm9,lumo,500,3,15,0.4157183,unimol_pt,0.43912795,-5.6311355,0.39158788323402405,0.35165730118751526,0.3550242483615875,0.37525826692581177,0.4887396,,0.7630524039268494,0.561602771282196
qm9,homo,200,1,15,0.3861969,gcn,0.45048797,-16.647215,0.41693076491355896,0.391101211309433,0.3968944549560547,0.41407373547554016,0.52076036,,0.45305654406547546,0.4798693060874939
qm9,lumo,325,0,3,0.5998994,chemberta2,0.5502448,8.277155,,0.5502448081970215,,,0.5502448,,,
qm9,lumo,100,3,15,0.9083925,krovex,1.1048491,-21.626848,1.0331377983093262,0.9312654733657837,0.947676420211792,0.9706551432609558,1.164886,,1.0999447107315063,1.3103621006011963
qm9,homo,50,3,15,0.45611122,xgb,0.5635782,-23.561573,0.5249083638191223,0.4599851965904236,0.48047158122062683,0.6157757043838501,0.6315804,,0.4599851965904236,0.5585724711418152
qm9,homo,50,9,15,0.43674928,attentivefp,0.5458865,-24.988525,0.4773634672164917,0.43615564703941345,0.44197067618370056,0.5294560194015503,0.6627976,,0.4619039297103882,0.5539608597755432
qm9,homo,500,8,15,0.36966047,attentivefp,0.44825345,-21.260855,0.3981083035469055,0.37207385897636414,0.3832018971443176,0.39562156796455383,0.48426288,,0.4792986214160919,0.5273617506027222
qm9,lumo,100,5,15,0.86132336,krovex,1.1063362,-28.446096,1.0015531778335571,0.9115291833877563,0.9301120638847351,1.0370490550994873,1.0787417,,1.101889967918396,1.3352850675582886
