target,model,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95
homo,gtca_ca,375,10,0.5052470308983447,0.04002881309737106,0.024810115398490897,0.36798818901368807,0.025349713977536957,0.01571191550375335,0.381890569627285,0.12071316639383943,0.07481879567758365,-0.02448420524597169,0.1640146428703389,0.10165732885351605
homo,gtca_ca,400,10,0.4819842483242986,0.03563970520002335,0.022089718139528054,0.350916334313034,0.02379256765254366,0.01474678621247399,0.4728658154606819,0.11652063727490011,0.07222023920778792,0.06835858225822447,0.14303174166353608,0.0886519919460847
homo,gtca_ca,425,10,0.4722962468984998,0.026109049663689203,0.016182556638023374,0.3454293660890961,0.020933903369005913,0.012974967732930472,0.5090728998184204,0.06337313048276116,0.03927907321699199,0.10736667513847349,0.1009643741826319,0.06257836745032112
homo,gtca_ca,450,10,0.4801161126291198,0.01756917617171225,0.01088948820981218,0.3538445715319567,0.013620851363200258,0.00844229113975115,0.4755617529153824,0.06539994371582376,0.0405353050738085,0.0789846062660217,0.06836485571827136,0.042372976571790705
homo,gtca_ca,475,10,0.481683517592593,0.021994810018279225,0.013632524486648603,0.35372952838416183,0.019065765819123465,0.01181708408346794,0.500304201245308,0.08909056475680947,0.05521890412179962,0.07233967185020447,0.08582634873765965,0.053195722072316654
homo,gtca_ca,500,10,0.4812821142474966,0.022079199564182368,0.013684829669097811,0.3519967203460305,0.018001187586849234,0.011157251659029161,0.5007640063762665,0.059469494683370684,0.03685957468175016,0.07386874556541438,0.08763287054376433,0.054315415888126814
homo,gtca_ca,600,3,0.4591104106761062,0.012477385869083035,0.014119491296983928,0.333254131553252,0.010815884749804805,0.012239325784774593,0.5532491405804952,0.008031572199417452,0.009088579527845178,0.15841245651245114,0.0456551564169861,0.05166367302059313
homo,gtca_ca,700,3,0.46174378835421637,0.017670604268489053,0.01999617113706479,0.3354230586638425,0.013998231332511456,0.015840489950888118,0.5519430041313171,0.01148071832529446,0.012991655798574092,0.14831852912902826,0.06582699270424458,0.07449025463716871
homo,gtca_ca,800,3,0.4719449802124504,0.012914322576893985,0.014613931727695949,0.34328234603489766,0.008157593775249914,0.0092311863656771,0.5263894697030386,0.07154011503137299,0.08095526115559118,0.11069504419962563,0.048391238331513806,0.05475984117515291
homo,gtca_ca,900,3,0.44286083229249806,0.010013821165927035,0.0113317053976989,0.3207886928336447,0.008421680660564361,0.009530028808955562,0.6099293033281962,0.022878603611736735,0.02588957718968114,0.21705041329065958,0.03533369365010308,0.03998383837908754
