model,target,train_size,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_R_mean,Pearson_R_std,R2_mean,R2_std,n_test_mean
gtca_depth_6,gap,200,10,0.8021047124487946,0.05752084852840514,0.6347599131291487,0.049813474598826124,0.8096401035785675,0.03060480680549196,0.5874411940574646,0.06013752858050131,9997.0
gtca_depth_6,gap,225,10,0.7780379294727171,0.03646156616478378,0.6132497628996754,0.03194364309143144,0.8124421894550323,0.016930511215482495,0.6128516554832458,0.03649357553149114,9997.0
gtca_depth_6,gap,250,10,0.7878094894657356,0.032202833833451676,0.6225225152862901,0.028199365438219923,0.8155430734157563,0.014320896542400322,0.603253310918808,0.032071558452508475,9997.0
gtca_depth_6,gap,275,10,0.7696889249372683,0.02876922776314882,0.600013339076903,0.03015740268606968,0.8167470395565033,0.004429390566924324,0.6213878810405731,0.02890244408664946,9997.0
gtca_depth_6,gap,300,10,0.788710296572389,0.029189745557050575,0.6199572201672595,0.03229788421400719,0.8078704237937927,0.018077340541527556,0.602453088760376,0.029074579988974534,9997.0
gtca_depth_6,gap,325,10,0.7375303662354163,0.029899117955709605,0.5789669904957833,0.03154417844276532,0.844910842180252,0.009926899463120297,0.6522877454757691,0.028183744295253964,9997.0
gtca_depth_6,gap,350,10,0.7563937978516457,0.0408100627288354,0.5946990953232568,0.04377668606631258,0.8399101257324219,0.015175799583504226,0.633857136964798,0.04012637804247095,9997.0
gtca_depth_6,gap,375,10,0.7447333064219485,0.03950089536273201,0.5915095590954171,0.04027720899276917,0.8521810352802277,0.007298660484846582,0.6450901210308075,0.036844221742955846,9997.0
gtca_depth_6,gap,400,10,0.7285130587371312,0.019104714414462192,0.5684135404695636,0.01709169693368404,0.8490015983581543,0.00951612201445991,0.6610296666622162,0.017874357198163576,9997.0
gtca_depth_6,gap,425,10,0.7188951433086969,0.030564748494241522,0.561902427441477,0.03088424888473256,0.8530734539031982,0.011110261162401986,0.6695883214473725,0.028097904084376266,9997.0
